machine, size, metric, invocations, min, max, mean
ccsl, 800_800_400, cudaGetDeviceCount, 10,1481,2793,2017.1
ccsl, 800_800_400, cudaGetDeviceProperties, 10,238324,1187801,341232.4
ccsl, 800_800_400, cudaMemGetInfo, 10,199758,223725,203929.7
ccsl, 800_800_400, cudaMalloc, 42,195211,449298976,19099743
ccsl, 800_800_400, cudaMemcpy, 4800,3858,45303,5890.952
ccsl, 800_800_400, CUDA memcpy HtoD, 2400,26720221,35719144,27496451
ccsl, 800_800_400, CUDA memcpy DtoH, 2400,23282997,34961791,26273444
ccsl, 800_800_400, cudaFree, 42,126878,238930048,10496663
ccsl, 800_800_400, cudaLaunch (gpu_stencil37_hack1_cp_slices, 2400,6232,40574,8967.151
ccsl, 800_800_400, "gpu_stencil37_hack1_cp_slices, 2400,228451,750889,446030.7
ccsl, 800_800_400, cudaLaunch (gpu_stencil37_hack1_cp_rows, 2400,5646,40807,6175.144
ccsl, 800_800_400, "gpu_stencil37_hack1_cp_rows, 2400,18359258,37000695,34432690
ccsl, 800_800_400, cudaLaunch (gpu_stencil37_hack1_cp_cols, 2400,5514,313838,6143.517
ccsl, 800_800_400, "gpu_stencil37_hack1_cp_cols, 2400,2493982,3822670,2849760
ccsl, 800_800_400, cudaLaunch (gpu_stencil37_hack2, 2400,5496,20368,5914.482
ccsl, 800_800_400, "gpu_stencil37_hack2, 2400,8589798,10818753,9220324
ccsl, 800_800_800, cuDeviceGetAttribute, 91,144,65721,2117.385
ccsl, 800_800_800, cudaSetupArgument, 96000,158,359096,219.2566
ccsl, 800_800_800, cudaMallocHost, 2,676810244,816586718,746698481
ccsl, 800_800_800, cudaGetDeviceCount, 10,1421,2046,1705.4
ccsl, 800_800_800, cudaGetDeviceProperties, 10,236929,269776,253817.5
ccsl, 800_800_800, cudaMemGetInfo, 10,194603,1167236,299785.9
ccsl, 800_800_800, cudaMalloc, 42,234207,816586718,36364229
ccsl, 800_800_800, cudaMemcpy, 4800,4702,52751,8355.028
ccsl, 800_800_800, CUDA memcpy HtoD, 2400,52725556,65917201,56006053
ccsl, 800_800_800, CUDA memcpy DtoH, 2400,48186878,67326978,54708625
ccsl, 800_800_800, cudaFree, 42,153567,490324193,21227371
ccsl, 800_800_800, cudaLaunch (gpu_stencil37_hack1_cp_slices, 2400,7053,107150,13603.15
ccsl, 800_800_800, "gpu_stencil37_hack1_cp_slices, 2400,375077,967884,466726.9
ccsl, 800_800_800, cudaLaunch (gpu_stencil37_hack1_cp_rows, 2400,6414,30662,7506.249
ccsl, 800_800_800, "gpu_stencil37_hack1_cp_rows, 2400,36770870,55587862,52838785
ccsl, 800_800_800, cudaLaunch (gpu_stencil37_hack1_cp_cols, 2400,6223,333366,7251.722
ccsl, 800_800_800, "gpu_stencil37_hack1_cp_cols, 2400,5144253,5737701,5516353
ccsl, 800_800_800, cudaLaunch (gpu_stencil37_hack2, 2400,6190,38760,6955
ccsl, 800_800_800, "gpu_stencil37_hack2, 2400,17546641,19619530,18079706
