==11545== NVPROF is profiling process 11545, command: ./StencilCudaGpu37 800 800 800 6 5
==11545== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==11545== Profiling application: ./StencilCudaGpu37 800 800 800 6 5
==11545== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
116258163.000000,225,,,,,,,,,,,,,"cuDeviceGetAttribute",104
116258589.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",105
116259022.000000,230,,,,,,,,,,,,,"cuDeviceGet",106
116259875.000000,33485.000000,,,,,,,,,,,,,"cuDeviceGetName",107
116293894.000000,49035.000000,,,,,,,,,,,,,"cuDeviceTotalMem",108
116343404.000000,219,,,,,,,,,,,,,"cuDeviceGetAttribute",109
116343824.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",110
116344203.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",111
116344591.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",112
116344986.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",113
116345365.000000,32111.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",114
116377922.000000,203,,,,,,,,,,,,,"cuDeviceGetAttribute",115
116378325.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",116
116378701.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",117
116379086.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",118
116379465.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",119
116379845.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",120
116380229.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",121
116380604.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",122
116380984.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",123
116381363.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",124
116381744.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",125
116382133.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",126
116382506.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",127
116382900.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",128
116383279.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",129
116383655.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",130
