machine,size,iteration,metric,invocations,min,max,mean,sum
debian,100_100_50,5,cudaMalloc,20,157193,274807,180351.2,3607025
debian,100_100_50,5,cudaMemcpy,10,374012,401108,385995.2,3859952
debian,100_100_50,5,CUDA memcpy HtoD,5,356095,360031,359019.6,1795098
debian,100_100_50,5,CUDA memcpy DtoH,5,354815,355135,354987.2,1774936
debian,100_100_50,5,cudaFree,22,140083,607201,265833.7,5848342
debian,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,5,gpu_stencil37_hack1_cp_slices,25,18976,20032,19502.08,487552
debian,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,5,gpu_stencil37_hack1_cp_rows,25,51808,52736,52161,1304025
debian,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,5,gpu_stencil37_hack1_cp_cols,25,95904,97696,97163.12,2429078
debian,100_100_50,5,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,5,gpu_stencil37_hack2,25,199839,202879,201169,5029226
debian,100_100_50,5,total_CUDA memcpy HtoD,5,356095,360031,359019.6,1795098
debian,100_100_50,5,total_CUDA memcpy DtoH,5,354815,355135,354987.2,1774936
debian,100_100_50,5,total_kernel_execution_time,0, 0, 0, 0, 9249881
debian,100_100_50,5,total_CUDA_functions,0, 0, 0, 0, 9315594
debian,100_100_50,5,total_running_time,0, 0, 0, 0, 27111952
debian,100_100_50,6,cuDeviceGetAttribute,188,204,237275,5127.894,964044
debian,100_100_50,6,cudaSetupArgument,1200,171,842,197.1408,236569
debian,100_100_50,6,cudaMallocHost,2,1006540,92135233,46570886,93141773
debian,100_100_50,6,cudaGetDeviceCount,5,1427,1875,1607.2,8036
debian,100_100_50,6,cudaGetDeviceProperties,5,485777,605643,516747.4,2583737
debian,100_100_50,6,cudaMemGetInfo,5,145587,151011,147582.4,737912
debian,100_100_50,6,cudaLaunch,120,11942,186614,57463.3,6895596
debian,100_100_50,6,cudaMalloc,20,160276,275024,187522.8,3750456
debian,100_100_50,6,cudaMemcpy,10,367986,14429705,1905946,19059462
debian,100_100_50,6,CUDA memcpy HtoD,5,355454,358942,358219,1791095
debian,100_100_50,6,CUDA memcpy DtoH,5,347806,348127,347947.2,1739736
debian,100_100_50,6,cudaFree,22,142703,7610989,683887.5,15045525
debian,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,6,gpu_stencil37_hack1_cp_slices,30,18656,19680,19221.13,576634
debian,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,6,gpu_stencil37_hack1_cp_rows,30,51456,52896,52110.57,1563317
debian,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,6,gpu_stencil37_hack1_cp_cols,30,96319,97791,97066.2,2911986
debian,100_100_50,6,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,6,gpu_stencil37_hack2,30,199327,202175,200696.6,6020897
debian,100_100_50,6,total_CUDA memcpy HtoD,5,355454,358942,358219,1791095
debian,100_100_50,6,total_CUDA memcpy DtoH,5,347806,348127,347947.2,1739736
debian,100_100_50,6,total_kernel_execution_time,0, 0, 0, 0, 11072834
debian,100_100_50,6,total_CUDA_functions,0, 0, 0, 0, 15176350
debian,100_100_50,6,total_running_time,0, 0, 0, 0, 66086780
debian,100_100_50,7,cuDeviceGetAttribute,188,190,186448,4602.936,865352
debian,100_100_50,7,cudaSetupArgument,1400,171,685,201.05,281470
debian,100_100_50,7,cudaMallocHost,2,1000401,96248042,48624222,97248443
debian,100_100_50,7,cudaGetDeviceCount,5,1022,2134,1301.6,6508
debian,100_100_50,7,cudaGetDeviceProperties,5,482604,531789,497665.6,2488328
debian,100_100_50,7,cudaMemGetInfo,5,141909,151792,145125.8,725629
debian,100_100_50,7,cudaLaunch,140,11471,141478,14334.99,2006898
debian,100_100_50,7,cudaMalloc,20,158217,385709,192653.2,3853064
debian,100_100_50,7,cudaMemcpy,10,366794,399707,382831.3,3828313
debian,100_100_50,7,CUDA memcpy HtoD,5,354175,357790,356875.4,1784377
debian,100_100_50,7,CUDA memcpy DtoH,5,348350,348414,348376,1741880
debian,100_100_50,7,cudaFree,22,137861,605302,265853.4,5848775
debian,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,7,gpu_stencil37_hack1_cp_slices,35,18752,19680,19224.6,672861
debian,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,7,gpu_stencil37_hack1_cp_rows,35,52000,52768,52322.54,1831289
debian,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,7,gpu_stencil37_hack1_cp_cols,35,96159,97471,97042.8,3396498
debian,100_100_50,7,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,7,gpu_stencil37_hack2,35,199359,206463,201426.3,7049922
debian,100_100_50,7,total_CUDA memcpy HtoD,5,354175,357790,356875.4,1784377
debian,100_100_50,7,total_CUDA memcpy DtoH,5,348350,348414,348376,1741880
debian,100_100_50,7,total_kernel_execution_time,0, 0, 0, 0, 12950570
debian,100_100_50,7,total_CUDA_functions,0, 0, 0, 0, 10227249
debian,100_100_50,7,total_running_time,0, 0, 0, 0, 30857541
debian,100_100_50,8,cuDeviceGetAttribute,188,192,162696,4021.314,756007
debian,100_100_50,8,cudaSetupArgument,1600,171,750,199.4225,319076
