machine,kernel,size(x),size(y),size(z),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,800,800,200,1,1,3,502932647
f3,StencilCudaGpu37,800,800,200,1,1,4,503240151
f3,StencilCudaGpu37,800,800,200,1,1,5,503517752
f3,StencilCudaGpu37,800,800,200,1,1,6,503100961
f3,StencilCudaGpu37,800,800,200,1,1,7,503140898
f3,StencilCudaGpu37,800,800,200,1,1,8,503099867
f3,StencilCudaGpu37,800,800,200,1,1,9,503014792
f3,StencilCudaGpu37,800,800,200,1,1,10,503302695
f3,StencilCudaGpu37,800,800,200,1,1,11,503129863
f3,StencilCudaGpu37,800,800,200,1,1,12,504556959
f3,StencilCudaGpu37,800,800,200,1,1,13,503090244
f3,StencilCudaGpu37,900,900,200,1,0,0,639050493
f3,StencilCudaGpu37,900,900,200,1,1,1,638993656
f3,StencilCudaGpu37,900,900,200,1,1,2,639214884
f3,StencilCudaGpu37,900,900,200,1,1,3,640487208
f3,StencilCudaGpu37,900,900,200,1,1,4,639147139
f3,StencilCudaGpu37,900,900,200,1,1,5,639045389
f3,StencilCudaGpu37,900,900,200,1,1,6,639038452
f3,StencilCudaGpu37,900,900,200,1,1,7,638863661
f3,StencilCudaGpu37,900,900,200,1,1,8,638943217
f3,StencilCudaGpu37,900,900,200,1,1,9,638947288
f3,StencilCudaGpu37,900,900,200,1,1,10,640831818
f3,StencilCudaGpu37,900,900,200,1,1,11,639135856
f3,StencilCudaGpu37,900,900,200,1,1,12,640875815
f3,StencilCudaGpu37,900,900,200,1,1,13,640704702
f3,StencilCudaGpu37,1000,1000,200,1,0,0,689355117
f3,StencilCudaGpu37,1000,1000,200,1,1,1,691589107
f3,StencilCudaGpu37,1000,1000,200,1,1,2,689531654
f3,StencilCudaGpu37,1000,1000,200,1,1,3,689648558
f3,StencilCudaGpu37,1000,1000,200,1,1,4,689241080
f3,StencilCudaGpu37,1000,1000,200,1,1,5,689093770
f3,StencilCudaGpu37,1000,1000,200,1,1,6,691735753
f3,StencilCudaGpu37,1000,1000,200,1,1,7,689169751
f3,StencilCudaGpu37,1000,1000,200,1,1,8,689451251
f3,StencilCudaGpu37,1000,1000,200,1,1,9,689253908
f3,StencilCudaGpu37,1000,1000,200,1,1,10,689366124
f3,StencilCudaGpu37,1000,1000,200,1,1,11,689399173
f3,StencilCudaGpu37,1000,1000,200,1,1,12,689173573
f3,StencilCudaGpu37,1000,1000,200,1,1,13,689462969
f3,StencilCudaGpu37,100,100,300,1,0,0,16135063
f3,StencilCudaGpu37,100,100,300,1,1,1,15896475
f3,StencilCudaGpu37,100,100,300,1,1,2,15965868
f3,StencilCudaGpu37,100,100,300,1,1,3,16023592
f3,StencilCudaGpu37,100,100,300,1,1,4,15993615
f3,StencilCudaGpu37,100,100,300,1,1,5,15895331
f3,StencilCudaGpu37,100,100,300,1,1,6,15966643
f3,StencilCudaGpu37,100,100,300,1,1,7,15968734
f3,StencilCudaGpu37,200,200,300,1,0,0,50560454
f3,StencilCudaGpu37,200,200,300,1,1,1,50581063
f3,StencilCudaGpu37,200,200,300,1,1,2,50554578
f3,StencilCudaGpu37,200,200,300,1,1,3,50601657
f3,StencilCudaGpu37,200,200,300,1,1,4,50563302
f3,StencilCudaGpu37,200,200,300,1,1,5,50818895
f3,StencilCudaGpu37,200,200,300,1,1,6,50568913
f3,StencilCudaGpu37,200,200,300,1,1,7,50379341
f3,StencilCudaGpu37,200,200,300,1,1,8,50624248
f3,StencilCudaGpu37,200,200,300,1,1,9,50668877
f3,StencilCudaGpu37,200,200,300,1,1,10,50622653
f3,StencilCudaGpu37,200,200,300,1,1,11,50662676
f3,StencilCudaGpu37,200,200,300,1,1,12,50723018
f3,StencilCudaGpu37,200,200,300,1,1,13,50641906
f3,StencilCudaGpu37,300,300,300,1,0,0,108851987
f3,StencilCudaGpu37,300,300,300,1,1,1,108696541
f3,StencilCudaGpu37,300,300,300,1,1,2,108775405
f3,StencilCudaGpu37,300,300,300,1,1,3,108710380
f3,StencilCudaGpu37,300,300,300,1,1,4,108749192
f3,StencilCudaGpu37,300,300,300,1,1,5,109016283
f3,StencilCudaGpu37,300,300,300,1,1,6,108933621
f3,StencilCudaGpu37,300,300,300,1,1,7,108686086
f3,StencilCudaGpu37,300,300,300,1,1,8,108726980
f3,StencilCudaGpu37,300,300,300,1,1,9,108752900
f3,StencilCudaGpu37,300,300,300,1,1,10,108667679
f3,StencilCudaGpu37,300,300,300,1,1,11,108721945
f3,StencilCudaGpu37,300,300,300,1,1,12,108766441
f3,StencilCudaGpu37,300,300,300,1,1,13,108724993
f3,StencilCudaGpu37,300,300,300,1,1,14,108674776
f3,StencilCudaGpu37,300,300,300,1,1,15,108645636
f3,StencilCudaGpu37,300,300,300,1,1,16,109014436
f3,StencilCudaGpu37,300,300,300,1,1,17,108721327
f3,StencilCudaGpu37,300,300,300,1,1,18,108946407
f3,StencilCudaGpu37,300,300,300,1,1,19,108752672
f3,StencilCudaGpu37,400,400,300,1,0,0,191331815
f3,StencilCudaGpu37,400,400,300,1,1,1,190753836
f3,StencilCudaGpu37,400,400,300,1,1,2,190944912
f3,StencilCudaGpu37,400,400,300,1,1,3,190748572
f3,StencilCudaGpu37,400,400,300,1,1,4,190790104
f3,StencilCudaGpu37,400,400,300,1,1,5,191302973
f3,StencilCudaGpu37,400,400,300,1,1,6,191373365
f3,StencilCudaGpu37,400,400,300,1,1,7,190780266
f3,StencilCudaGpu37,400,400,300,1,1,8,190672275
f3,StencilCudaGpu37,400,400,300,1,1,9,190746868
f3,StencilCudaGpu37,400,400,300,1,1,10,190800218
f3,StencilCudaGpu37,400,400,300,1,1,11,190647606
f3,StencilCudaGpu37,400,400,300,1,1,12,190706524
f3,StencilCudaGpu37,400,400,300,1,1,13,191284788
f3,StencilCudaGpu37,400,400,300,1,1,14,190684681
f3,StencilCudaGpu37,400,400,300,1,1,15,190653616
f3,StencilCudaGpu37,400,400,300,1,1,16,190660823
f3,StencilCudaGpu37,400,400,300,1,1,17,190636610
f3,StencilCudaGpu37,400,400,300,1,1,18,190744094
f3,StencilCudaGpu37,400,400,300,1,1,19,191202497
f3,StencilCudaGpu37,500,500,300,1,0,0,298102000
f3,StencilCudaGpu37,500,500,300,1,1,1,297997640
f3,StencilCudaGpu37,500,500,300,1,1,2,298059090
f3,StencilCudaGpu37,500,500,300,1,1,3,298139899
f3,StencilCudaGpu37,500,500,300,1,1,4,298695806
f3,StencilCudaGpu37,500,500,300,1,1,5,298029550
f3,StencilCudaGpu37,500,500,300,1,1,6,298025496
f3,StencilCudaGpu37,500,500,300,1,1,7,297960428
f3,StencilCudaGpu37,500,500,300,1,1,8,298879150
f3,StencilCudaGpu37,500,500,300,1,1,9,298138647
f3,StencilCudaGpu37,500,500,300,1,1,10,298015874
f3,StencilCudaGpu37,500,500,300,1,1,11,298041093
f3,StencilCudaGpu37,500,500,300,1,1,12,298046037
f3,StencilCudaGpu37,500,500,300,1,1,13,299057971
f3,StencilCudaGpu37,500,500,300,1,1,14,299230872
f3,StencilCudaGpu37,500,500,300,1,1,15,298037591
f3,StencilCudaGpu37,500,500,300,1,1,16,297995240
f3,StencilCudaGpu37,500,500,300,1,1,17,298347232
f3,StencilCudaGpu37,500,500,300,1,1,18,297584500
f3,StencilCudaGpu37,500,500,300,1,1,19,298025174
f3,StencilCudaGpu37,600,600,300,1,0,0,427463824
f3,StencilCudaGpu37,600,600,300,1,1,1,426368195
f3,StencilCudaGpu37,600,600,300,1,1,2,426231015
f3,StencilCudaGpu37,600,600,300,1,1,3,426631450
f3,StencilCudaGpu37,600,600,300,1,1,4,427529356
f3,StencilCudaGpu37,600,600,300,1,1,5,426424036
f3,StencilCudaGpu37,600,600,300,1,1,6,426240939
f3,StencilCudaGpu37,600,600,300,1,1,7,426288982
f3,StencilCudaGpu37,600,600,300,1,1,8,426387624
f3,StencilCudaGpu37,600,600,300,1,1,9,427775253
f3,StencilCudaGpu37,600,600,300,1,1,10,426195858
f3,StencilCudaGpu37,600,600,300,1,1,11,426363887
f3,StencilCudaGpu37,600,600,300,1,1,12,426356873
f3,StencilCudaGpu37,600,600,300,1,1,13,426353229
f3,StencilCudaGpu37,600,600,300,1,1,14,426202402
f3,StencilCudaGpu37,600,600,300,1,1,15,426320508
f3,StencilCudaGpu37,600,600,300,1,1,16,426261167
f3,StencilCudaGpu37,600,600,300,1,1,17,426640810
f3,StencilCudaGpu37,600,600,300,1,1,18,426287863
f3,StencilCudaGpu37,600,600,300,1,1,19,426294915
f3,StencilCudaGpu37,700,700,300,1,0,0,578914858
f3,StencilCudaGpu37,700,700,300,1,1,1,579104642
f3,StencilCudaGpu37,700,700,300,1,1,2,579029281
f3,StencilCudaGpu37,700,700,300,1,1,3,579012875
f3,StencilCudaGpu37,700,700,300,1,1,4,578981583
f3,StencilCudaGpu37,700,700,300,1,1,5,578950326
f3,StencilCudaGpu37,700,700,300,1,1,6,579017758
f3,StencilCudaGpu37,700,700,300,1,1,7,579031037
f3,StencilCudaGpu37,700,700,300,1,1,8,579187926
f3,StencilCudaGpu37,700,700,300,1,1,9,578950447
f3,StencilCudaGpu37,700,700,300,1,1,10,579081544
f3,StencilCudaGpu37,700,700,300,1,1,11,579019304
f3,StencilCudaGpu37,700,700,300,1,1,12,578977050
f3,StencilCudaGpu37,700,700,300,1,1,13,579107917
f3,StencilCudaGpu37,700,700,300,1,1,14,579007586
f3,StencilCudaGpu37,700,700,300,1,1,15,578944386
f3,StencilCudaGpu37,700,700,300,1,1,16,580677583
f3,StencilCudaGpu37,700,700,300,1,1,17,579072660
f3,StencilCudaGpu37,700,700,300,1,1,18,578896961
f3,StencilCudaGpu37,700,700,300,1,1,19,580698190
f3,StencilCudaGpu37,800,800,300,1,0,0,753318257
f3,StencilCudaGpu37,800,800,300,1,1,1,753410954
f3,StencilCudaGpu37,800,800,300,1,1,2,753495417
f3,StencilCudaGpu37,800,800,300,1,1,3,755470004
f3,StencilCudaGpu37,800,800,300,1,1,4,753491132
f3,StencilCudaGpu37,800,800,300,1,1,5,755545920
f3,StencilCudaGpu37,800,800,300,1,1,6,753344014
f3,StencilCudaGpu37,800,800,300,1,1,7,753400660
f3,StencilCudaGpu37,800,800,300,1,1,8,755622923
f3,StencilCudaGpu37,800,800,300,1,1,9,755423408
f3,StencilCudaGpu37,800,800,300,1,1,10,753299488
f3,StencilCudaGpu37,800,800,300,1,1,11,755537147
f3,StencilCudaGpu37,800,800,300,1,1,12,753606515
f3,StencilCudaGpu37,800,800,300,1,1,13,753395784
f3,StencilCudaGpu37,800,800,300,1,1,14,753383161
f3,StencilCudaGpu37,800,800,300,1,1,15,753308030
f3,StencilCudaGpu37,800,800,300,1,1,16,753343858
f3,StencilCudaGpu37,800,800,300,1,1,17,753427468
f3,StencilCudaGpu37,800,800,300,1,1,18,753504045
f3,StencilCudaGpu37,800,800,300,1,1,19,753394811
f3,StencilCudaGpu37,900,900,300,1,0,0,836646019
f3,StencilCudaGpu37,900,900,300,1,1,1,836645506
f3,StencilCudaGpu37,900,900,300,1,1,2,836531954
f3,StencilCudaGpu37,900,900,300,1,1,3,836659411
f3,StencilCudaGpu37,900,900,300,1,1,4,836742386
f3,StencilCudaGpu37,900,900,300,1,1,5,839293009
f3,StencilCudaGpu37,900,900,300,1,1,6,836716794
f3,StencilCudaGpu37,900,900,300,1,1,7,836785476
f3,StencilCudaGpu37,900,900,300,1,1,8,836501793
f3,StencilCudaGpu37,900,900,300,1,1,9,839589805
f3,StencilCudaGpu37,900,900,300,1,1,10,836975581
f3,StencilCudaGpu37,900,900,300,1,1,11,836726806
f3,StencilCudaGpu37,900,900,300,1,1,12,836674798
f3,StencilCudaGpu37,900,900,300,1,1,13,836702814
f3,StencilCudaGpu37,900,900,300,1,1,14,836652117
f3,StencilCudaGpu37,900,900,300,1,1,15,836641400
f3,StencilCudaGpu37,900,900,300,1,1,16,839269567
f3,StencilCudaGpu37,900,900,300,1,1,17,836592194
f3,StencilCudaGpu37,900,900,300,1,1,18,836516702
f3,StencilCudaGpu37,900,900,300,1,1,19,836818134
f3,StencilCudaGpu37,1000,1000,300,1,0,0,1029966013
f3,StencilCudaGpu37,1000,1000,300,1,1,1,1029968429
f3,StencilCudaGpu37,1000,1000,300,1,1,2,1029989702
f3,StencilCudaGpu37,1000,1000,300,1,1,3,1029877175
f3,StencilCudaGpu37,1000,1000,300,1,1,4,1033397203
f3,StencilCudaGpu37,1000,1000,300,1,1,5,1029941389
f3,StencilCudaGpu37,1000,1000,300,1,1,6,1029901745
f3,StencilCudaGpu37,1000,1000,300,1,1,7,1033295754
f3,StencilCudaGpu37,1000,1000,300,1,1,8,1033400883
f3,StencilCudaGpu37,1000,1000,300,1,1,9,1030285084
f3,StencilCudaGpu37,1000,1000,300,1,1,10,1030049378
f3,StencilCudaGpu37,1000,1000,300,1,1,11,1033686482
f3,StencilCudaGpu37,1000,1000,300,1,1,12,1030203040
f3,StencilCudaGpu37,1000,1000,300,1,1,13,1030021738
f3,StencilCudaGpu37,1000,1000,300,1,1,14,1032976394
f3,StencilCudaGpu37,1000,1000,300,1,1,15,1030212898
f3,StencilCudaGpu37,1000,1000,300,1,1,16,1029810212
f3,StencilCudaGpu37,1000,1000,300,1,1,17,1029885295
f3,StencilCudaGpu37,1000,1000,300,1,1,18,1029934036
f3,StencilCudaGpu37,1000,1000,300,1,1,19,1029600995
f3,StencilCudaGpu37,100,100,400,1,0,0,19905814
f3,StencilCudaGpu37,100,100,400,1,1,1,19618710
f3,StencilCudaGpu37,100,100,400,1,1,2,19944474
f3,StencilCudaGpu37,100,100,400,1,1,3,19979150
f3,StencilCudaGpu37,100,100,400,1,1,4,19896816
f3,StencilCudaGpu37,100,100,400,1,1,5,19956819
f3,StencilCudaGpu37,100,100,400,1,1,6,19954273
f3,StencilCudaGpu37,100,100,400,1,1,7,19909134
f3,StencilCudaGpu37,200,200,400,1,0,0,66082382
f3,StencilCudaGpu37,200,200,400,1,1,1,66273313
f3,StencilCudaGpu37,200,200,400,1,1,2,66260871
f3,StencilCudaGpu37,200,200,400,1,1,3,66060026
f3,StencilCudaGpu37,200,200,400,1,1,4,66081940
f3,StencilCudaGpu37,200,200,400,1,1,5,66198856
f3,StencilCudaGpu37,200,200,400,1,1,6,66011036
f3,StencilCudaGpu37,200,200,400,1,1,7,66044848
f3,StencilCudaGpu37,200,200,400,1,1,8,66295775
f3,StencilCudaGpu37,200,200,400,1,1,9,66454632
f3,StencilCudaGpu37,200,200,400,1,1,10,65908484
f3,StencilCudaGpu37,200,200,400,1,1,11,66298626
f3,StencilCudaGpu37,200,200,400,1,1,12,66259271
f3,StencilCudaGpu37,200,200,400,1,1,13,66096732
f3,StencilCudaGpu37,300,300,400,1,0,0,144252424
f3,StencilCudaGpu37,300,300,400,1,1,1,143887645
f3,StencilCudaGpu37,300,300,400,1,1,2,144399265
f3,StencilCudaGpu37,300,300,400,1,1,3,143941072
f3,StencilCudaGpu37,300,300,400,1,1,4,144026340
f3,StencilCudaGpu37,300,300,400,1,1,5,143940206
f3,StencilCudaGpu37,300,300,400,1,1,6,144518838
f3,StencilCudaGpu37,300,300,400,1,1,7,144298392
f3,StencilCudaGpu37,300,300,400,1,1,8,143950289
f3,StencilCudaGpu37,300,300,400,1,1,9,144104277
f3,StencilCudaGpu37,300,300,400,1,1,10,143919923
f3,StencilCudaGpu37,300,300,400,1,1,11,144051831
f3,StencilCudaGpu37,300,300,400,1,1,12,144008824
f3,StencilCudaGpu37,300,300,400,1,1,13,144408713
f3,StencilCudaGpu37,300,300,400,1,1,14,144535329
f3,StencilCudaGpu37,300,300,400,1,1,15,144107122
f3,StencilCudaGpu37,300,300,400,1,1,16,144233873
f3,StencilCudaGpu37,300,300,400,1,1,17,143990429
f3,StencilCudaGpu37,300,300,400,1,1,18,144490389
f3,StencilCudaGpu37,300,300,400,1,1,19,144029066
f3,StencilCudaGpu37,400,400,400,1,0,0,253041273
f3,StencilCudaGpu37,400,400,400,1,1,1,253044557
f3,StencilCudaGpu37,400,400,400,1,1,2,253070179
f3,StencilCudaGpu37,400,400,400,1,1,3,252908633
f3,StencilCudaGpu37,400,400,400,1,1,4,253903411
f3,StencilCudaGpu37,400,400,400,1,1,5,253028874
f3,StencilCudaGpu37,400,400,400,1,1,6,252996885
f3,StencilCudaGpu37,400,400,400,1,1,7,253286182
f3,StencilCudaGpu37,400,400,400,1,1,8,253508841
f3,StencilCudaGpu37,400,400,400,1,1,9,252999415
f3,StencilCudaGpu37,400,400,400,1,1,10,253235882
f3,StencilCudaGpu37,400,400,400,1,1,11,253031579
f3,StencilCudaGpu37,400,400,400,1,1,12,253323434
f3,StencilCudaGpu37,400,400,400,1,1,13,253242539
f3,StencilCudaGpu37,400,400,400,1,1,14,253075861
f3,StencilCudaGpu37,400,400,400,1,1,15,253116167
