Server_Name,NumOfSocket,CPU_Type,CPU_Clock(GHz),CPU_Cores,CPU_Threads,CPU_Mem(GB),CPU_L3_Cache(MB),GPU_Type,GPU_Clock(GHz),NumOfSM,SP/SM,GPU_Mem(GB),GPU_L2_Cache(MB),CC,NumOfCE,PCIe,Total_Workload,Initial_GPU_Workload,CPU/GPU_Workload_Ratio,Exe_Time
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,4000,1.5,4314012963
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,4000,2,4321358519
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,8000,0.5,7681593042
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,8000,1,7683126474
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,8000,1.5,7677572242
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,8000,2,7681029503
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,1000,0.5,4891854788
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,1000,1,4925382348
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,1000,1.5,4922771805
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,1000,2,4970098519
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,2000,0.5,5311193914
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,2000,1,5314161582
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,2000,1.5,5307789610
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,2000,2,5343261792
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,4000,0.5,4795991629
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,4000,1,4838011705
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,4000,1.5,4799325459
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,4000,2,4802873580
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,0.5,8582511236
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,1,8576960896
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,1.5,8575816557
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,2,8604395537
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,0.5,6917201984
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,1,6061071686
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,1.5,5945463562
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,2,7302817755
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,0.5,5858973973
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,1,5829731504
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,1.5,5868863191
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,2,6777399449
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,0.5,7269049401
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,1,7157216012
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,1.5,5961487998
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,2,7069497423
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,0.5,9532260869
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,1,9529672537
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,1.5,9532712834
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,2,9529773441
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,0.5,7958663512
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,1,7157031061
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,1.5,8368527922
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,2,8108810945
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,0.5,8570618601
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,1,7721051455
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,1.5,8535099403
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,2,8836758603
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,0.5,7660335578
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,1,9283247494
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,1.5,8401637430
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,2,8775362688
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,0.5,10468365553
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,1,10475010847
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,1.5,10472174048
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,2,10465344635
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,1000,0.5,5864843674
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,1000,1,5972847352
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,1000,1.5,6048233082
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,1000,2,5862222894
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,2000,0.5,6165176231
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,2000,1,5845726721
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,2000,1.5,6251910143
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,2000,2,6164513594
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,4000,0.5,7025058066
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,4000,1,6554956563
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,4000,1.5,6542848624
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,4000,2,7027891976
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,8000,0.5,6504957187
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,8000,1,6503544700
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,8000,1.5,6506555838
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,17000,8000,2,6512570970
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,1000,0.5,7321000030
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,1000,1,7344716775
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,1000,1.5,7384687896
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,1000,2,7341789216
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,2000,0.5,7320726997
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,2000,1,7633194381
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,2000,1.5,7708211263
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,2000,2,7322897949
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,4000,0.5,8076161288
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,4000,1,7546383116
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,4000,1.5,7596519531
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,4000,2,8073596536
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,8000,0.5,7506286822
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,8000,1,7514549103
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,8000,1.5,7509302974
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,19000,8000,2,7523458242
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,1000,0.5,9095290581
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,1000,1,9112335859
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,1000,1.5,9120065650
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,1000,2,9132955002
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,2000,0.5,9098057979
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,2000,1,9100557825
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,2000,1.5,9424116637
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,2000,2,9140092813
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,4000,0.5,9190900418
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,4000,1,9112049063
debian,1,Intel,3.4,6,12,31,12,Titan,0.88,14,192,6,1.5,3.5,2,11.5,21000,4000,1.5,9187976023
