machine,kernel,size(xyz),iteration,metric,"Stream","Grid X","SrcMemType",minExe,"Size","Throughput","Grid Z",maxGridy,"DstMemType",maxExe,"Duration",avgThroughput,"Device",avgExe,maxGridz,"Context",minThroughput,minGridz,callNum,"Block Y","Static SMem","Grid Y","Block X",minGridy,"Dynamic SMem","Start",minGridx,"Registers Per Thread",totalThroughput,"Block Z",maxGridx,maxThroughput,totalExe
debian,StencilCudaGpu37,400_400_50,1,"cudaMemGetInfo",0,0,0,142093.000000,0,0,0,0,0,145492.000000,145492.000000,0,0,144188.2,0,0,0,0,5,0,0,0,0,0,0,494265337.000000,0,0,0,0,0,0,720941
debian,StencilCudaGpu37,400_400_50,1,"cuDeviceGetCount",0,0,0,214,0,0,0,0,0,1345.000000,344,0,0,634.333333333333,0,0,0,0,3,0,0,0,0,0,0,116191998.000000,0,0,0,0,0,0,1903
debian,StencilCudaGpu37,400_400_50,1,"cudaEventRecord",0,0,0,3583.000000,0,0,0,0,0,7091.000000,3837.000000,0,0,4425.74,0,0,0,0,100,0,0,0,0,0,0,496107054.000000,0,0,0,0,0,0,442574
debian,StencilCudaGpu37,400_400_50,1,"cuDeviceGetName",0,0,0,35346.000000,0,0,0,0,0,37543.000000,35346.000000,0,0,36444.5,0,0,0,0,2,0,0,0,0,0,0,116718259.000000,0,0,0,0,0,0,72889
debian,StencilCudaGpu37,400_400_50,1,"cudaMallocHost",0,0,0,12716792.000000,0,0,0,0,0,105733150.000000,12716792.000000,0,0,59224971,0,0,0,0,2,0,0,0,0,0,0,222927616.000000,0,0,0,0,0,0,118449942
debian,StencilCudaGpu37,400_400_50,1,"cudaStreamWaitEvent",0,0,0,1360.000000,0,0,0,0,0,3209.000000,1523.000000,0,0,1722.90833333333,0,0,0,0,120,0,0,0,0,0,0,496072863.000000,0,0,0,0,0,0,206749
debian,StencilCudaGpu37,400_400_50,1,"gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","113",4,0,392446.000000,0,0,1,25,0,627998.000000,392446.000000,0,"GeForce GTX TITAN (0)",567610.5,1,"1",0,1,20,16,0,25,16,25,7.593750,506031227.000000,4,43,0,1,8,0,11352210
debian,StencilCudaGpu37,400_400_50,1,"cudaStreamCreate",0,0,0,2598.000000,0,0,0,0,0,235127.000000,2806.000000,0,0,8976.84,0,0,0,0,100,0,0,0,0,0,0,494506613.000000,0,0,0,0,0,0,897684
debian,StencilCudaGpu37,400_400_50,1,"gpu_stencil37_hack2_cp_rows(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","111",1,0,64255.000000,0,0,1,25,0,110560.000000,65247.000000,0,"GeForce GTX TITAN (0)",92597.95,1,"1",0,1,20,1,0,25,64,25,0.000000,505910876.000000,1,32,0,1,1,0,1851959
debian,StencilCudaGpu37,400_400_50,1,"cudaEventCreate",0,0,0,1381.000000,0,0,0,0,0,7521.000000,1505.000000,0,0,1928.89,0,0,0,0,100,0,0,0,0,0,0,495455200.000000,0,0,0,0,0,0,192889
debian,StencilCudaGpu37,400_400_50,1,"cudaLaunch(gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,400_400_50,1,"cuDeviceGet",0,0,0,189,0,0,0,0,0,588,204,0,0,358,0,0,0,0,4,0,0,0,0,0,0,116717496.000000,0,0,0,0,0,0,1432
debian,StencilCudaGpu37,400_400_50,1,"cudaConfigureCall",0,0,0,273,0,0,0,0,0,1236.000000,369,0,0,398.2625,0,0,0,0,80,0,0,0,0,0,0,496074834.000000,0,0,0,0,0,0,31861
debian,StencilCudaGpu37,400_400_50,1,"gpu_stencil37_hack2_cp_slices(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","110",1,0,20736.000000,0,0,1,25,0,37632.000000,24415.000000,0,"GeForce GTX TITAN (0)",30185.35,1,"1",0,1,20,1,0,25,64,25,0.000000,505905884.000000,1,32,0,1,1,0,603707
debian,StencilCudaGpu37,400_400_50,1,"cudaFree",0,0,0,254544.000000,0,0,0,0,0,7004723.000000,866499.000000,0,0,2242143.45,0,0,0,0,20,0,0,0,0,0,0,516133784.000000,0,0,0,0,0,0,44842869
debian,StencilCudaGpu37,400_400_50,1,"cudaLaunch(gpu_stencil37_hack2_cp_rows(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,400_400_50,1,"cudaMemcpy3DAsync",0,0,0,9368.000000,0,0,0,0,0,35795.000000,11419.000000,0,0,14895.4,0,0,0,0,40,0,0,0,0,0,0,496095124.000000,0,0,0,0,0,0,595816
debian,StencilCudaGpu37,400_400_50,1,"[CUDAmemcpyHtoD]","109",0,"Pinned",1721529.000000,9.765625,2.578355,0,0,"Device",4317359.000000,3698770.000000,5.41096095,"GeForce GTX TITAN (0)",3219132.85,0,"1",2.329899,0,20,0,0,0,0,0,0,502190346.000000,0,0,108.219219,0,0,9.867579,64382657
debian,StencilCudaGpu37,400_400_50,1,"cuDeviceGetAttribute",0,0,0,166,0,0,0,0,0,157852.000000,175,0,0,3873.64361702128,0,0,0,0,188,0,0,0,0,0,0,117186606.000000,0,0,0,0,0,0,728245
debian,StencilCudaGpu37,400_400_50,1,"cudaDeviceSynchronize",0,0,0,10277549.000000,0,0,0,0,0,11897571.000000,11871562.000000,0,0,11562769.2,0,0,0,0,5,0,0,0,0,0,0,496112097.000000,0,0,0,0,0,0,57813846
debian,StencilCudaGpu37,400_400_50,1,"cudaGetDeviceCount",0,0,0,1406.000000,0,0,0,0,0,1977.000000,1616.000000,0,0,1614.2,0,0,0,0,5,0,0,0,0,0,0,493771749.000000,0,0,0,0,0,0,8071
debian,StencilCudaGpu37,400_400_50,1,"cudaGetDeviceProperties",0,0,0,481962.000000,0,0,0,0,0,492018.000000,490504.000000,0,0,487744,0,0,0,0,5,0,0,0,0,0,0,493773770.000000,0,0,0,0,0,0,2438720
debian,StencilCudaGpu37,400_400_50,1,"cudaLaunch",0,0,0,11706.000000,0,0,0,0,0,1817133.000000,12061.000000,0,0,37717.7875,0,0,0,0,80,0,0,0,0,0,0,496082401.000000,0,0,0,0,0,0,3017423
debian,StencilCudaGpu37,400_400_50,1,"cuDeviceTotalMem",0,0,0,50188.000000,0,0,0,0,0,101456.000000,50188.000000,0,0,75822,0,0,0,0,2,0,0,0,0,0,0,116754182.000000,0,0,0,0,0,0,151644
debian,StencilCudaGpu37,400_400_50,1,"cudaStreamDestroy",0,0,0,1962.000000,0,0,0,0,0,26056.000000,2653.000000,0,0,4783.96,0,0,0,0,100,0,0,0,0,0,0,517098211.000000,0,0,0,0,0,0,478396
debian,StencilCudaGpu37,400_400_50,1,"cudaLaunch(gpu_stencil37_hack2_cp_slices(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,400_400_50,1,"cudaEventDestroy",0,0,0,1122.000000,0,0,0,0,0,7075.000000,1242.000000,0,0,1503.44,0,0,0,0,100,0,0,0,0,0,0,508018640.000000,0,0,0,0,0,0,150344
debian,StencilCudaGpu37,400_400_50,1,"cudaMalloc",0,0,0,156369.000000,0,0,0,0,0,177362.000000,157533.000000,0,0,165678,0,0,0,0,15,0,0,0,0,0,0,495255383.000000,0,0,0,0,0,0,2485170
debian,StencilCudaGpu37,400_400_50,1,"gpu_stencil37_hack2_cp_cols(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","112",4,0,116256.000000,0,0,1,2,0,163775.000000,117087.000000,0,"GeForce GTX TITAN (0)",143977,1,"1",0,1,20,256,0,2,1,2,0.000000,505897948.000000,4,23,0,1,8,0,2879540
debian,StencilCudaGpu37,400_400_50,1,"cudaFreeHost",0,0,0,6923141.000000,0,0,0,0,0,7422488.000000,6923141.000000,0,0,7172814.5,0,0,0,0,2,0,0,0,0,0,0,528037087.000000,0,0,0,0,0,0,14345629
debian,StencilCudaGpu37,400_400_50,1,"[CUDAmemcpyDtoH]","113",0,"Device",954716.000000,9.036621,9.236902,0,0,"Pinned",4212880.000000,955388.000000,6.16422695,"GeForce GTX TITAN (0)",2547453.85,0,"1",3.784019,0,20,0,0,0,0,0,0,507020183.000000,0,0,123.284539,0,0,9.243404,50949077
