machine,kernel,size(xyz),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,800_800_800,1,1,11,1667699444
f3,StencilCudaGpu37,800_800_800,1,1,12,1668531810
f3,StencilCudaGpu37,800_800_800,1,1,13,1667752848
f3,StencilCudaGpu37,800_800_800,1,1,14,1667757944
f3,StencilCudaGpu37,800_800_800,1,1,15,1674815610
f3,StencilCudaGpu37,800_800_800,1,1,16,1674269409
f3,StencilCudaGpu37,800_800_800,1,1,17,1667783449
f3,StencilCudaGpu37,800_800_800,1,1,18,1668048834
f3,StencilCudaGpu37,800_800_800,1,1,19,1668011306
f3,StencilCudaGpu37,800_800_800,1,1,20,1667725753
f3,StencilCudaGpu37,800_800_800,1,1,21,1667828693
f3,StencilCudaGpu37,800_800_800,1,1,22,1668412502
f3,StencilCudaGpu37,800_800_800,1,1,23,1674615114
f3,StencilCudaGpu37,800_800_800,1,1,24,1673872855
f3,StencilCudaGpu37,800_800_800,1,1,25,1667989485
f3,StencilCudaGpu37,800_800_800,1,1,26,1674475123
f3,StencilCudaGpu37,800_800_800,1,1,27,1668194487
f3,StencilCudaGpu37,800_800_800,1,1,28,1667618313
f3,StencilCudaGpu37,800_800_800,1,1,29,1668649703
f3,StencilCudaGpu37,800_800_800,1,1,30,1668047441
f3,StencilCudaGpu37,800_800_800,1,1,31,1674883657
f3,StencilCudaGpu37,800_800_800,1,1,32,1668058558
f3,StencilCudaGpu37,800_800_800,1,1,33,1667960568
f3,StencilCudaGpu37,800_800_800,1,1,34,1668160571
f3,StencilCudaGpu37,800_800_800,1,1,35,1674437733
f3,StencilCudaGpu37,800_800_800,1,1,36,1668848341
f3,StencilCudaGpu37,800_800_800,1,1,37,1668438036
f3,StencilCudaGpu37,800_800_800,1,1,38,1668385561
f3,StencilCudaGpu37,800_800_800,1,1,39,1667519210
f3,StencilCudaGpu37,800_800_800,1,1,40,1668776833
f3,StencilCudaGpu37,800_800_800,1,1,41,1674202458
f3,StencilCudaGpu37,800_800_800,1,1,42,1667548513
f3,StencilCudaGpu37,800_800_800,1,1,43,1673856293
f3,StencilCudaGpu37,800_800_800,1,1,44,1668639138
f3,StencilCudaGpu37,800_800_800,1,1,45,1668113023
f3,StencilCudaGpu37,800_800_800,1,1,46,1674531286
f3,StencilCudaGpu37,800_800_800,1,1,47,1668604252
f3,StencilCudaGpu37,800_800_800,1,1,48,1675160697
f3,StencilCudaGpu37,800_800_800,1,1,49,1668382050
f3,StencilCudaGpu37,800_800_800,1,1,50,1668272719
f3,StencilCudaGpu37,1000_1000_800,1,0,0,2507691930
f3,StencilCudaGpu37,1000_1000_800,1,1,1,2517428462
f3,StencilCudaGpu37,1000_1000_800,1,1,2,2507028652
f3,StencilCudaGpu37,1000_1000_800,1,1,3,2517328992
f3,StencilCudaGpu37,1000_1000_800,1,1,4,2507018834
f3,StencilCudaGpu37,1000_1000_800,1,1,5,2506559041
f3,StencilCudaGpu37,1000_1000_800,1,1,6,2507410899
f3,StencilCudaGpu37,1000_1000_800,1,1,7,2507039716
f3,StencilCudaGpu37,1000_1000_800,1,1,8,2516840916
f3,StencilCudaGpu37,1000_1000_800,1,1,9,2517368964
f3,StencilCudaGpu37,1000_1000_800,1,1,10,2507260318
f3,StencilCudaGpu37,1000_1000_800,1,1,11,2517577389
f3,StencilCudaGpu37,1000_1000_800,1,1,12,2507122014
f3,StencilCudaGpu37,1000_1000_800,1,1,13,2515834021
f3,StencilCudaGpu37,1000_1000_800,1,1,14,2506603733
f3,StencilCudaGpu37,1000_1000_800,1,1,15,2507162765
f3,StencilCudaGpu37,1000_1000_800,1,1,16,2507151830
